"","Geographic code","Geographic name","province","Population, 2011"
"1",1,"Canada","",33476688
"2",1001101,"Division No.  1, Subd. V ","N.L.",62
"3",1001105,"Portugal Cove South","N.L.",160
"4",1001113,"Trepassey","N.L.",570
"5",1001120,"St. Shott's","N.L.",81
"6",1001124,"Division No.  1, Subd. U ","N.L.",1489
"7",1001126,"Cape Broyle","N.L.",506
"8",1001131,"Renews-Cappahayden","N.L.",310
"9",1001136,"Fermeuse","N.L.",323
"10",1001140,"Port Kirwan","N.L.",65
"11",1001144,"Aquaforte","N.L.",83
"12",1001149,"Ferryland","N.L.",465
"13",1001155,"Division No.  1, Subd. W ","N.L.",511
"14",1001169,"St. Vincent's-St. Stephen's-Peter's River","N.L.",340
"15",1001174,"Gaskiers-Point La Haye","N.L.",233
"16",1001178,"St. Mary's","N.L.",439
"17",1001181,"Riverhead","N.L.",212
"18",1001186,"Admirals Beach","N.L.",153
"19",1001192,"St. Joseph's","N.L.",115
"20",1001197,"Mount Carmel-Mitchells Brook-St. Catherine's","N.L.",358
"21",1001203,"Division No.  1, Subd. X ","N.L.",506
"22",1001207,"Colinet","N.L.",110
"23",1001214,"Division No.  1, Subd. C ","N.L.",131
"24",1001219,"Branch","N.L.",247
"25",1001225,"Point Lance","N.L.",120
"26",1001228,"St. Bride's","N.L.",308
"27",1001234,"Division No.  1, Subd. B ","N.L.",344
"28",1001240,"Placentia","N.L.",3643
"29",1001254,"Fox Harbour","N.L.",270
"30",1001259,"Division No.  1, Subd. A ","N.L.",757
"31",1001263,"Long Harbour-Mount Arlington Heights","N.L.",298
"32",1001267,"Southern Harbour","N.L.",534
"33",1001270,"Arnold's Cove","N.L.",990
"34",1001274,"Come By Chance","N.L.",247
"35",1001277,"Sunnyside","N.L.",452
"36",1001281,"Chance Cove","N.L.",282
"37",1001285,"Norman's Cove-Long Cove","N.L.",720
"38",1001289,"Chapel Arm","N.L.",468
"39",1001293,"Division No.  1, Subd. Y ","N.L.",1175
"40",1001298,"Whitbourne","N.L.",916
"41",1001304,"Division No.  1, Subd. E ","N.L.",2971
"42",1001308,"Whiteway","N.L.",293
"43",1001312,"Heart's Delight-Islington","N.L.",704
"44",1001316,"Heart's Desire","N.L.",223
"45",1001321,"Division No.  1, Subd. F ","N.L.",546
"46",1001325,"Heart's Content","N.L.",375
"47",1001328,"New Perlican","N.L.",210
"48",1001332,"Winterton","N.L.",484
"49",1001335,"Hant's Harbour","N.L.",346
"50",1001339,"Division No.  1, Subd. G ","N.L.",2017
"51",1001343,"Old Perlican","N.L.",661
"52",1001347,"Bay de Verde","N.L.",398
"53",1001352,"Small Point-Adam's Cove-Blackhead-Broad Cove","N.L.",389
"54",1001357,"Division No.  1, Subd. H ","N.L.",408
"55",1001361,"Salmon Cove","N.L.",695
"56",1001365,"Victoria","N.L.",1764
"57",1001370,"Carbonear","N.L.",4739
"58",1001374,"Division No.  1, Subd. I ","N.L.",271
"59",1001375,"Bryant's Cove","N.L.",396
"60",1001379,"Harbour Grace","N.L.",3131
"61",1001385,"Upper Island Cove","N.L.",1594
"62",1001391,"Division No.  1, Subd. J ","N.L.",0
"63",1001394,"Bishop's Cove","N.L.",275
"64",1001396,"Spaniard's Bay","N.L.",2622
"65",1001405,"Division No.  1, Subd. K ","N.L.",46
"66",1001409,"Bay Roberts","N.L.",5818
"67",1001415,"Division No.  1, Subd. L ","N.L.",956
"68",1001421,"Division No.  1, Subd. M ","N.L.",1087
"69",1001426,"North River","N.L.",562
"70",1001429,"Clarke's Beach","N.L.",1396
"71",1001434,"South River","N.L.",655
"72",1001437,"Cupids","N.L.",761
"73",1001441,"Division No.  1, Subd. N ","N.L.",317
"74",1001446,"Brigus","N.L.",750
"75",1001452,"Division No.  1, Subd. O ","N.L.",724
"76",1001456,"Colliers","N.L.",651
"77",1001461,"Conception Harbour","N.L.",697
"78",1001464,"Avondale","N.L.",636
"79",1001469,"Harbour Main-Chapel's Cove-Lakeview","N.L.",1083
"80",1001472,"Holyrood","N.L.",1995
"81",1001485,"Conception Bay South","N.L.",24848
"82",1001490,"Division No.  1, Subd. R ","N.L.",344
"83",1001494,"Wabana","N.L.",2346
"84",1001504,"Portugal Cove-St. Philip's","N.L.",7366
"85",1001505,"Pouch Cove","N.L.",1866
"86",1001507,"Flatrock","N.L.",1457
"87",1001509,"Torbay","N.L.",7397
"88",1001511,"Logy Bay-Middle Cove-Outer Cove","N.L.",2098
"89",1001512,"Bauline","N.L.",397
"90",1001517,"Paradise","N.L.",17695
"91",1001519,"St. John's","N.L.",106172
"92",1001542,"Mount Pearl","N.L.",24284
"93",1001551,"Petty Harbour-Maddox Cove","N.L.",924
"94",1001557,"Bay Bulls","N.L.",1283
"95",1001559,"Witless Bay","N.L.",1179
"96",1001565,"Division No.  1, Subd. D ","N.L.",115
"97",1002001,"Division No.  2, Subd. E ","N.L.",269
"98",1002002,"Lewin's Cove","N.L.",555
"99",1002005,"Burin","N.L.",2424
"100",1002006,"Division No.  2, Subd. F ","N.L.",130
"101",1002008,"St. Lawrence","N.L.",1244
"102",1002009,"Division No.  2, Subd. G ","N.L.",10
"103",1002011,"Lawn","N.L.",672
"104",1002012,"Lamaline","N.L.",286
"105",1002013,"Lord's Cove","N.L.",175
"106",1002014,"Point May","N.L.",233
