name,background,water,road,text
Inverse-White-red-water,#e34a33,#636363,#f0f0f0,#000
Inverse-Alcatec,#47434C,#FFFFFF,#FF5400,#39363D
Inverse-Accesible-beige,#5A7284,#FFFDFA,#847967,#000
Inverse-Azure,#58B7B8,#F2E4B1,#12403E,#000
Inverse-Azure-red-text,#58B7B8,#F2E4B1,#12403E,#DF6127
Inverse-Forest-land,#0D2127,#265B40,#C0DE88,#fff
Inverse-Midnight-blue,#2E4585,#A3003C,#DBDBDB,#fff
Inverse-Dark-blue,#A1C181,#233D4D,#FE7F2D,#fff
Inverse-Steel-gold,#BFCBE4,#DDBB3B,#353B40,#fff
Inverse-Shiny,#028CC7,#3E3A71,#FFDA1F,#fff
Inverse-Phaedra,#BEEB9F,#FF6138,#FFFF9D,#fff
Inverse-Deep-purple,#ECAC3E,#3B2B3D,#EDEDED,#fff
Inverse-Deep-purple-2,#ECAC3E,#EDEDED,#3B2B3D,#fff
Inverse-Firenze,#FFB03B,#FFF0A5,#468966,#000
