name,background,water,road,text
Green-White,#284907,#D8CAA8,#fff,#fff
Bogart,#DDDCC5,#611427,#1D2326,#1D2326
Clean-modern,#FFFFFF,#9DBDC6,#272F32,#000
Zen-Tea,#F6FFE0,#95AB63,#10222B,#10222B
Accesible-beige,#FFFDFA,#5A7284,#847967,#000
Dark-blue,#233D4D,#A1C181,#FE7F2D,#fff
Deep-purple,#3B2B3D,#ECAC3E,#EDEDED,#fff
Midnight-purple,#A3003C,#2E4585,#DBDBDB,#fff
Shiny,#FFDA1F,#028CC7,#3E3A71,#fff
Steel-gold,#353B40,#BFCBE4,#DDBB3B,#fff
Inverse-Alcatec,#47434C,#FFFFFF,#FF5400,#000
Azure,#F2E4B1,#58B7B8,#12403E,#000
Inverse-Dark-blue,#A1C181,#233D4D,#B13A17,#fff
Inverse-Deep-purple,#ECAC3E,#EDEDED,#3B2B3D,#fff
Inverse-Forest-land,#0D2127,#265B40,#C0DE88,#fff
Inverse-Midnight-purple,#2E4585,#A3003C,#DBDBDB,#fff
Inverse-Steel-gold,#BFCBE4,#DDBB3B,#353B40,#fff
White-Black,#fff,#000,#000,#000
Black-White,#000,#fff,#fff,#fff
