city,zoom,shift_right,shift_top
Berlin,4.0,-0.1,0.1
Paris,0.6,0.0,0.0
Warszawa,2.5,-0.2,0.0
London,3.75,0.05,0.1
Copenhagen Municipality,1.5,0.0,0.1
Christianshavn,1.0,0.0,0.0
Nørrebro,1.0,0.0,0.0
Frederikshavn,1.0,0.0,0.0
Lund,1.0,0.0,0.0
Umeå,1.0,0.0,0.0
Stockholms län,1.0,0.0,0.0
Gothenburg,1.0,0.0,0.0
Uppsala,1.0,0.0,0.0
Birmingham,2.0,0.0,0.0
Sheffield,2.0,1.0,-0.1
Abilene,1,0,0
Akron,1,0,0
Albany,1,0,0
Schenectady,1,0,0
Troy,1,0,0
Albuquerque,1,0,0
Alexandria,1,0,0
Allentown,1,0,0
Bethlehem,1,0,0
Easton,1,0,0
Altoona,1,0,0
Amarillo,1,0,0
Ames,1,0,0
Anchorage,1,0,0
Ann Arbor,1,0,0
Anniston,1,0,0
Oxford,1,0,0
Jacksonville,1,0,0
Appleton,1,0,0
Asheville,1,0,0
Athens,1,0,0
Clarke County,1,0,0
Atlanta,1,0,0
Sandy Springs,1,0,0
Roswell,1,0,0
Atlantic City,1,0,0
Hammonton,1,0,0
Auburn,1,0,0
Opelika,1,0,0
Augusta,1,0,0
Richmond County,1,0,0
Austin,1,0,0
Round Rock,1,0,0
Bakersfield,1,0,0
Baltimore,1,0,0
Columbia,1,0,0
Towson,1,0,0
Bangor,1,0,0
Barnstable Town,1,0,0
Baton Rouge,1,0,0
Battle Creek,1,0,0
Bay City,1,0,0
Beaumont,1,0,0
Port Arthur,1,0,0
Beckley,1,0,0
Bellingham,1,0,0
Bend,1,0,0
Redmond,1,0,0
Billings,1,0,0
Binghamton,1,0,0
Birmingham,1,0,0
Hoover,1,0,0
Bismarck,1,0,0
Blacksburg,1,0,0
Christiansburg,1,0,0
Radford,1,0,0
Bloomington,1,0,0
Bloomsburg,1,0,0
Berwick,1,0,0
Boise City,1,0,0
Boston,1,0,0
Cambridge,1,0,0
Newton,1,0,0
Boulder,1,0,0
Bowling Green,1,0,0
Bremerton,1,0,0
Silverdale,1,0,0
Bridgeport,1,0,0
Stamford,1,0,0
Norwalk,1,0,0
Brownsville,1,0,0
Harlingen,1,0,0
Brunswick,1,0,0
Buffalo,1,0,0
Cheektowaga,1,0,0
Niagara Falls,1,0,0
Burlington,1,0,0
South Burlington,1,0,0
California,1,0,0
Lexington Park,1,0,0
Canton,1,0,0
Massillon,1,0,0
Cape Coral,1,0,0
Fort Myers,1,0,0
